n,error_type,edit_distance,broken,reference
37,SyntaxError,2,"input_int = int(input())

num_to_word = {1: '一'，2: '二', 3: '三', 4: '四', 5: '五', 6: '六', 7: '七', 8: '八', 9: '九', 10: '十'}

print(num_to_word[input_int])","input_int = int(input())

num_to_word = {1:'一', 2:'二', 3:'三', 4:'四', 5:'五', 6:'六', 7:'七', 8:'八', 9:'九', 10:'十'}

print(num_to_word[input_int])"
38,IndentationError,0,"def welcome_to_circle_cat():
print('Welcome to circle cat!')
welcome_to_circle_cat()
welcome_to_circle_cat()
welcome_to_circle_cat()","def welcome_to_circle_cat():
    print('Welcome to circle cat!')

welcome_to_circle_cat()
welcome_to_circle_cat()
welcome_to_circle_cat()"
39,SyntaxError,5,"num_spiders = int(input())

if num_spiders != 15;
    web_size = 20
else:
    web_size = num_spiders

web_size = web_size * 2
print(web_size)","num_spiders = int(input())
if num_spiders != 15:    
    web_size = 20
else:   
    web_size = num_spiders

web_size = 2 * web_size 
print(web_size)"
40,SyntaxError,2,"param = int(input())

def(count_ones(param)):
    count = 0
    for i in str(param):
        if i == '1':
            count += 1
    return count

print(count_ones(param))","param = int(input())

def count_ones(param):
    count = 0
    for i in str(param):
        if i == '1':
            count += 1
    return count
    
print(count_ones(param))"
41,SyntaxError,3,"input_int = int(input())

def fib_3(num):
   if num == 0
      return 1
   elif num == 1:
      return 1
   elif num == 2:
      return 1
   else:
      return fib_3(num-1)+fib_3(num-2)+fib_3(num-3)

print(fib_3(input_int))","input_int = int(input())
 
def fib_3(num):
   if num == 0:
      return 1
   elif num == 1:
      return 1
   elif num == 2:
      return 1
   else:
      return fib_3(num - 2) + fib_3(num - 1) + fib_3(num - 3)

print(fib_3(input_int))"
42,SyntaxError,5,"input_int = int(input())

def fib_3(num):
   if num == 0：
      return 1
   elif num == 1：
      return 1
   elif num ==2：
       return 1
   else:
      return fib_3(num-1)+fib_3(num-2)+fib_3(num-3)

print(fib_3(input_int))","input_int = int(input())
 
def fib_3(num):
   if num == 0:
      return 1
   elif num == 1:
      return 1
   elif num == 2:
      return 1
   else:
      return fib_3(num - 2) + fib_3(num - 1) + fib_3(num - 3)

print(fib_3(input_int))"
43,SyntaxError,2,"print('I can')
print('swim.'')
my_age = 10
print('my age:' my_age)","print('I can')
print('swim.')
my_age = 10
print('my age:', my_age)"
44,SyntaxError,1,"import ast
input_list_1 = ast.literal_eval(input())
input_list_2 = ast.literal_eval(input())

def add_matrix(matrix_1, matrix_2):
    for i in range(0, len(matrix_1)):
        for j in range(0, len(matrix_1[i]))
        matrix_1[i][j] = matrix_1[i][j] + matrix_2[i][j]
    return matrix_1

print(add_matrix(input_list_1, input_list_2))","import ast
input_list_1 = ast.literal_eval(input())
input_list_2 = ast.literal_eval(input())

def add_matrix(matrix_1, matrix_2):
    for i in range(0, len(matrix_1)):
        for j in range(0, len(matrix_1[i])):
            matrix_1[i][j] = matrix_1[i][j] + matrix_2[i][j]
    return matrix_1

print(add_matrix(input_list_1, input_list_2))"
45,IndentationError,2,"i = int(input())

def is_leap_year(year):
    if (year % 4 == 0 and year % 100 !=0) or (year % 400 == 0) :
    return '是闰年'
    else:
    return '不是闰年'

print(is_leap_year(i))","i = int(input())

def is_leap_year(year):
    if ((year % 4 == 0 and year % 100 != 0) or year % 400 == 0):
        return '是闰年'
    else:
        return '不是闰年'

print(is_leap_year(i))"
46,SyntaxError,2,"film_rate = int(input())
if film_rate > 7:
    print('好看')
else：
    print('不好看')","film_rate = int(input())

if film_rate > 7:
    print('好看')
else:
    print('不好看')"
47,SyntaxError,4,"def welcome_to_cirlcle_cat():
    print('Welcome to circle cat!')
    welcome_to_cirlcle_cat():

welcome_to_cirlcle_cat()","def welcome_to_cirlcle_cat():
    print('Welcome to circle cat!')

welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()"
48,SyntaxError,1,"param = input()
for i in param
    print(i)","param = input()

for i in param:
    print(i)"
49,IndentationError,2,"param = int(input())

def convert_num(input_num):
    if (input_num >= 10):
        
        input_num = input_num - 10
     print(input_num)   

convert_num(param)","param = int(input())

def convert_num(input_num):
    if (input_num >= 10):
        input_num = input_num - 10
    print(input_num)

convert_num(param)"
50,TabError,4,"input_dict = input()
input_dict = eval(input_dict)

user_info={}

def log_user(user_name):
    if user_name in user_info:
        user_info[user_name]+=1;
	else user_info[user_name]=1
	
def print_user_log(user_name):
	if user_name in user_info:
		print(user_info[user_name])
	else:
		print(0)
for i in input_dict['log']:
    log_user(i)
for i in input_dict['print']:
    print_user_log(i)","input_dict = input()
input_dict = eval(input_dict)

user_info = {}
def log_user(user_name):
    if user_name in user_info:
        user_info[user_name] += 1
    else:
        user_info[user_name] = 1
        
def print_user_log(user_name):
    if user_name in user_info:
        print(user_info[user_name])
    else:
        print(0)

for i in input_dict['log']:
    log_user(i)
for i in input_dict['print']:
    print_user_log(i)"
51,IndentationError,2,"for i in range(1,8):
   if (i == 4):
        continue
    print(i)","for i in range(1,8):
    if (i == 4):
        continue
    print(i)"
52,SyntaxError,2,"param = input()
print param[4]","param = input()

print(param[4])"
53,SyntaxError,1,"print('你好')
print('我在吃饭'\ )","print('你好')
print('我在吃饭')"
54,SyntaxError,3,"print('你好')
print('我在吃饭'）
print( )","print('你好')
print('我在吃饭')"
55,SyntaxError,2,"print('你好'）
print('我在吃饭'）","print('你好')
print('我在吃饭')"
56,IndentationError,0,"def welcome_to_cirlcle_cat():
print('Welcome to circle cat!')

welcome_to_cirlcle_cat()

welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()","def welcome_to_cirlcle_cat():
    print('Welcome to circle cat!')

welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()"
57,SyntaxError,3,"for i in range(1,8):
    if i == 4：
    continue
    print(i)","for i in range(1,8):
    if (i == 4):
        continue
    print(i)"
58,IndentationError,2,"def welcome_to_cirlcle_cat():
print('Welcome to circle cat!')
welcome_to_cirlcle_cat():
welcome_to_cirlcle_cat():
welcome_to_cirlcle_cat()","def welcome_to_cirlcle_cat():
    print('Welcome to circle cat!')

welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()"
59,SyntaxError,4,"def welcome_to_circle_cat()
 print('Welcome to circle cat!')
welcome_to_circle_cat()
welcome_to_circle_cat()","def welcome_to_circle_cat():
    print('Welcome to circle cat!')

welcome_to_circle_cat()
welcome_to_circle_cat()
welcome_to_circle_cat()"
60,IndentationError,0,"num_spiders = int(input())
num_cats = int(input())

if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
else:
print('蜘蛛很少')","num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')"
61,SyntaxError,1,"def welcome_to_circle_cat():
    print('Welcome to circle cat!')
    
welcome_to_circle_cat()
welcome_to_circle_cat():

welcome_to_circle_cat()","def welcome_to_circle_cat():
    print('Welcome to circle cat!')

welcome_to_circle_cat()
welcome_to_circle_cat()
welcome_to_circle_cat()"
62,SyntaxError,2,"param = int(input())

def convert_num(input_num):
    if (input_num >= 10):
        input_num = input_num - 10
        print input_num
convert_num(param)","param = int(input())

def convert_num(input_num):
    if (input_num >= 10):
        input_num = input_num - 10
    print(input_num)

convert_num(param)"
63,SyntaxError,2,"
user_age = int(input)

if user_age == 18:
    num_candles = 18
    else:
        num_candles = 3
print(num_candles)","user_age = int(input())
if user_age == 18:  
    num_candles = 18
else:
    num_candles = 3
print(num_candles)"
64,IndentationError,0,"num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
  if num_cats > num_spiders:
    print('猫会吃掉蜘蛛')
  else:
    print('猫吃不完蜘蛛')
else:
print('蜘蛛很少')","num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')"
65,IndentationError,2,"user_age=int(input())
 if user_age == 18
    num_candles=18
 else num_candles=3
print(num_candles)","user_age = int(input())
if user_age == 18:  
    num_candles = 18
else:
    num_candles = 3
print(num_candles)"
66,IndentationError,2,"for i in range(0, 10):
    print(i)
    if i==5:
    break","for i in range(0, 10):
    print(i)
    if (i == 5):
        break"
67,IndentationError,0,"def welcome_to_circle_cat():
print('Welcome to circle cat!')

welcome_to_circle_cat()
welcome_to_circle_cat()


welcome_to_circle_cat()","def welcome_to_circle_cat():
    print('Welcome to circle cat!')

welcome_to_circle_cat()
welcome_to_circle_cat()
welcome_to_circle_cat()"
68,SyntaxError,2,"def welcome_to_cirlcle_cat():
    print('Welcome to circle cat!')
welcome_to_cirlcle_cat():
welcome_to_cirlcle_cat():

welcome_to_cirlcle_cat()","def welcome_to_cirlcle_cat():
    print('Welcome to circle cat!')

welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()"
69,IndentationError,0,"param = input()


    print(param[4])","param = input()

print(param[4])"
70,SyntaxError,1,"for i in range(0, 10):
    print(i)
    if (i==5)
    break","for i in range(0, 10):
    print(i)
    if (i == 5):
        break"
71,SyntaxError,3,"param = int(input())

def get_discount(height)
    if height<140:
        return 0
    else:
        return 100

print(get_discount(param))","param = int(input())

def get_discount(height):
    if (height < 140):
        return 0
    else:
        return 100
    
print(get_discount(param))"
72,SyntaxError,1,"film_rate = int((input())
if film_rate > 7:
    print('好看')
else:
    print('不好看')","film_rate = int(input())

if film_rate > 7:
    print('好看')
else:
    print('不好看')"
73,SyntaxError,2,"param = input()
print len(param)","param = input()

print(len(param))"
74,IndentationError,4,"num_spiders = int(input())
num_cats = int(input())
if(num_spiders>10):
if(num_cats>num_spiders):
    print('猫会吃掉蜘蛛')
else:
    print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')","num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')"
75,SyntaxError,4,"age = int(input())

print('my age is ' +str（age）)","age = int(input())

print('my age is ' + str(age))"
76,SyntaxError,3,"for i in range(0, 10):
    print(i)
    if i==5：
        break","for i in range(0, 10):
    print(i)
    if (i == 5):
        break"
77,SyntaxError,3,"user_age = int(input()):

if (user_age == 18):
    num_candles = 18
else:
    num_candles = 3
    
print(num_candles)","user_age = int(input())
if user_age == 18:  
    num_candles = 18
else:
    num_candles = 3
print(num_candles)"
78,SyntaxError,2,"user_age = int(input())
if user_age == 18
num_candles = 18
else
num_candles = 3
print(num_candles)","user_age = int(input())
if user_age == 18:  
    num_candles = 18
else:
    num_candles = 3
print(num_candles)"
79,IndentationError,2,"param = int(input())

def print_num(input_num):
    if input_num == 10:
    print(input_num)

print_num(param)","param = int(input())

def print_num(input_num):
    if (input_num == 10):
        print(input_num)

print_num(param)"
80,SyntaxError,4,"print('你好'
print('我在吃饭')
print()","print('你好')
print('我在吃饭')"
81,SyntaxError,1,"age = int(input())
weight = int(input())
heart_rate = int(input())
time = int(int(input()))

calories_burned = ((age * 0.2757) + (weight * 0.03295) + (heart_rate * 1.0781) - 75.4991) * time / 8.368)

print(calories_burned)","age = int(input())
weight = int(input())
heart_rate = int(input())
time = int(int(input()))

calories_burned = ((age * 0.2757) + (weight * 0.03295) + (heart_rate * 1.0781) - 75.4991) * time / 8.368

print(calories_burned)"
82,SyntaxError,3,"print('你好')
print（'我在吃饭'\ ）","print('你好')
print('我在吃饭')"
83,IndentationError,0,"def welcome_to_circle_cat():
print('Welcome to circle cat!')

welcome_to_circle_cat()
welcome_to_circle_cat()

welcome_to_circle_cat()","def welcome_to_circle_cat():
    print('Welcome to circle cat!')

welcome_to_circle_cat()
welcome_to_circle_cat()
welcome_to_circle_cat()"
84,IndentationError,2,"def welcome_to_cirlcle_cat():
print('Welcome to circle cat!')

welcome_to_cirlcle_cat():

welcome_to_cirlcle_cat():
welcome_to_cirlcle_cat()","def welcome_to_cirlcle_cat():
    print('Welcome to circle cat!')

welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()"
85,SyntaxError,5,"input_int = int(input())

def fib_3(num):
   if num == 0
      return 1
   elif num == 1
      return 1
   elif num == 2
      return 1
   else:
      return fib_3(num-1)+fib_3(num-2)+fib_3(num-3)

print(fib_3(input_int))","input_int = int(input())
 
def fib_3(num):
   if num == 0:
      return 1
   elif num == 1:
      return 1
   elif num == 2:
      return 1
   else:
      return fib_3(num - 2) + fib_3(num - 1) + fib_3(num - 3)

print(fib_3(input_int))"
86,IndentationError,0,"num_spiders = int(input())
num_cats = int(input())
    if num_spiders > 10:
        if num_cats > num_spiders:
            print('猫会吃掉蜘蛛')
        else:
            print('猫吃不完蜘蛛')
    else:
        print('蜘蛛很少')","num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')"
87,IndentationError,0,"num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
    print('猫会吃掉蜘蛛')
else:
    print('猫吃不完蜘蛛')
else:
print('蜘蛛很少')","num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')"
88,SyntaxError,1,"num_students = int(input())
if num_students < 50:
    print('没到齐')
else:
    print('到齐了'')","num_students = int(input())  

if num_students < 50:
    print('没到齐')
else:
    print('到齐了')"
89,SyntaxError,5,"age = int(input())
weight = int(input())
heart_rate = int(input())
time = int(int(input()))

calories_burned=((age*0.2757+weight*0.03295+heart_rate*1.0781)-75.4991))*time/8.368
print(calories_burned)","age = int(input())
weight = int(input())
heart_rate = int(input())
time = int(int(input()))

calories_burned = ((age * 0.2757) + (weight * 0.03295) + (heart_rate * 1.0781) - 75.4991) * time / 8.368

print(calories_burned)"
90,SyntaxError,4,"input_int = int(input())

def fib_3(num):
   if num == 0:
      return 1
   elif num == 1
      return 1
   elif num == 2
      return 1
   else:
      return fib_3(num-1) + fib_3(num-2) + fib_3(num-3)

print(fib_3(input_int))","input_int = int(input())
 
def fib_3(num):
   if num == 0:
      return 1
   elif num == 1:
      return 1
   elif num == 2:
      return 1
   else:
      return fib_3(num - 2) + fib_3(num - 1) + fib_3(num - 3)

print(fib_3(input_int))"
91,SyntaxError,3,"print（'你好'）
print('我在吃饭')","print('你好')
print('我在吃饭')"
92,IndentationError,0,"num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
if num_cats > num_spiders:    
    print('猫会吃掉蜘蛛')
else:
    print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')","num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')"
93,IndentationError,0,"param = input()

    print(param[4])","param = input()

print(param[4])"
94,SyntaxError,3,"input_int = int(input())

def fibonacci(num):
   if num == 0:
      return 1
   elif num == 1:
      return 1
   else:
      return （(num-2)+(num-1))

print(fibonacci(input_int))","input_int = int(input())

def fibonacci(num):
   if num == 0:
      return 1
   elif num == 1:
      return 1
   else:
      return fibonacci(num-2) + fibonacci(num-1)

print(fibonacci(input_int))"
95,SyntaxError,1,"my_list = input().split(',')
new_list = []

for i in range(0,len(my_list))
new_list.append(my_list.pop())
print(','.join(new_list))","my_list = input().split(',')
new_list = []

for i in range(0, len(my_list)):
    new_list.append(my_list.pop())

print(','.join(new_list))"
96,SyntaxError,1,"input_int = int(input())

def power_of_two(num):
    if num == 0
        return 1
    else:
        return 2 * power_of_two(num - 1)
        
print(power_of_two(input_int))","input_int = int(input())

def power_of_two(num):
    if num == 0:
        return 1
    else:
        return 2 * power_of_two(num - 1)

print(power_of_two(input_int))"
97,SyntaxError,1,"def welcome_to_cirlcle_cat()：
    print('Welcome to circle cat!')
welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()","def welcome_to_cirlcle_cat():
    print('Welcome to circle cat!')

welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()"
98,SyntaxError,3,print（'I am Python!'）,print('I am Python!')
99,SyntaxError,1,print ('       你好\n再见'）,print('       你好\n再见')
100,SyntaxError,1,"input_int = int(input())

def days_left_to_sunday(day):
    if day < 7:
        print('还有' + str(7 - day) + '天到周日')
        days_left_to_sunday(day+1))
    else:
        print('到周日了!')

days_left_to_sunday(input_int)","input_int = int(input())

def days_left_to_sunday(day):
    if day < 7:
        print('还有' + str(7 - day) + '天到周日')
        days_left_to_sunday(day + 1)
    else:
        print('到周日了!')

days_left_to_sunday(input_int)"
101,SyntaxError,1,"film_rate = int(input())

if film_rate > 7
  print('好看')
else:
  print('不好看')","film_rate = int(input())

if film_rate > 7:
    print('好看')
else:
    print('不好看')"
102,SyntaxError,1,"param = input()
print(param.[4])","param = input()

print(param[4])"
103,SyntaxError,4,"def welcome_to_cirlcle_cat()：
    print ('Welcome to circle cat!')

welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()","def welcome_to_cirlcle_cat():
    print('Welcome to circle cat!')

welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()
welcome_to_cirlcle_cat()"
104,SyntaxError,1,"num_students = 100；
print(num_students)","num_students = 100

print(num_students)"
105,IndentationError,0,"param = int(input())

def get_age_status(age):
    if age < 18:
    return '未成年人'
    elif age < 65:
    return '工作中'
    else:
    return '退休了'

print(get_age_status(param))","param = int(input())

def get_age_status(age):
    if age < 18:
        return '未成年人'
    elif age < 65:
        return '工作中'
    else:
        return '退休了'

print(get_age_status(param))"
106,SyntaxError,1,"num_animals=int(input())
if num_animals>=30:
    forest_size=3
else forest_size=1
print(forest_size)","num_animals = int(input()) 

if num_animals >= 30:
    forest_size = 3
else:
    forest_size = 1

print(forest_size)"
